sp;BodyMass.Value;Nocturnal;ForStrat.watbelowsurf;ForStrat.wataroundsurf;ForStrat.ground;ForStrat.understory;ForStrat.midhigh;ForStrat.canopy;ForStrat.aerial;PelagicSpecialist;litter_or_clutch_size_n;litters_or_clutches_per_y;range_m2;Diet.5Cat;Migrant
Calliphlox_amethystina;2.8;0;0;0;0;50;40;0;10;0;2;NA;7.99E+12;FruiNect;0
Campephilus_robustus;200;0;0;0;0;30;40;30;0;0;NA;NA;1.89E+12;Invertebrate;0
Camptostoma_obsoletum;8.1;0;0;0;0;0;80;20;0;0;2;NA;57333452941;Invertebrate;0
Campylorhamphus_falcularius;42.6;0;0;0;0;50;50;0;0;0;2;NA;8.77E+11;Invertebrate;0
Capsiempis_flaveola;7.7;0;0;0;0;0;100;0;0;0;2;NA;5.72E+12;Invertebrate;0
Caracara_plancus;1078.62;0;0;0;100;0;0;0;0;0;NA;NA;NA;VertFishScav;0
Cariama_cristata;1400;0;0;0;60;40;0;0;0;0;2.2;NA;5.93E+12;Invertebrate;0
Cathartes_aura;1518.24;0;0;0;100;0;0;0;0;0;NA;NA;NA;VertFishScav;0
Cathartes_burrovianus;935;0;0;0;100;0;0;0;0;0;NA;NA;NA;VertFishScav;0
Celeus_flavescens;139;0;0;0;20;30;50;0;0;0;NA;NA;2.62E+12;Invertebrate;0
Certhiaxis_cinnamomeus;15.2;0;0;0;0;33;33;33;0;0;3.1;NA;8.36E+12;Invertebrate;0
Chaetura_meridionalis;22.2;0;0;0;0;0;0;0;100;0;3.75;NA;4.93E+12;Invertebrate;1
Chamaeza_meruloides;69;0;0;0;100;0;0;0;0;0;NA;NA;1.03E+11;Invertebrate;0
Chionomesa_fimbriata;4.9;0;0;0;0;80;20;0;0;0;NA;NA;NA;FruiNect;0
Chionomesa_lactea;4.6;0;0;0;0;30;30;30;10;0;NA;NA;NA;FruiNect;0
Chiroxiphia_caudata;25.6;0;0;0;0;50;50;0;0;0;2;NA;1.46E+12;Omnivore;0
Chloroceryle_amazona;126.38;0;100;0;0;0;0;0;0;0;3.75;1;1.31E+13;Omnivore;0
Chloroceryle_americana;33.73;0;70;10;10;10;0;0;0;0;NA;NA;NA;VertFishScav;0
Chlorophonia_cyanea;14;0;0;0;0;0;20;80;0;0;3;NA;2.01E+12;FruiNect;0
Chlorostilbon_lucidus;3.5;0;0;0;0;0;90;10;0;0;2;NA;5.79E+12;FruiNect;0
Chondrohierax_uncinatus;286.07;0;0;0;0;50;50;0;0;0;2;NA;8.80E+12;Invertebrate;0
Chrysomus_ruficapillus;32;0;0;0;90;10;0;0;0;0;3;NA;5.79E+12;PlantSeed;0
Strix_virgata;283.97;1;0;0;80;20;0;0;0;0;NA;NA;NA;VertFishScav;0
Circus_buffoni;507.4;0;0;0;100;0;0;0;0;0;3.75;NA;3.75E+12;VertFishScav;0
Cnemotriccus_fuscatus;13.6;0;0;0;40;40;20;0;0;0;3;NA;1.22E+13;Invertebrate;0
Coereba_flaveola;10.01;0;0;0;0;80;20;0;0;0;NA;NA;NA;FruiNect;0
Colaptes_campestris;158;0;0;0;100;0;0;0;0;0;4.75;NA;4.57E+12;Invertebrate;0
Colaptes_melanochloros;127.27;0;0;0;0;50;50;0;0;0;4;NA;4.72E+12;Invertebrate;0
Colibri_serrirostris;6.7;0;0;0;0;70;30;0;0;0;2;NA;2.37E+12;FruiNect;0
Colonia_colonus;18.3;0;0;0;0;30;70;0;0;0;2.4;NA;6.77E+12;Invertebrate;0
Columba_livia;354.2;0;0;0;80;20;0;0;0;0;NA;NA;NA;PlantSeed;0
Columbina_talpacoti;46.04;0;0;0;100;0;0;0;0;0;NA;NA;NA;PlantSeed;0
Conirostrum_speciosum;8.8;0;0;0;60;20;20;0;0;0;NA;NA;7.56E+12;Invertebrate;0
Conopophaga_lineata;25.21;0;0;0;60;40;0;0;0;0;2;NA;1.90E+12;Invertebrate;0
Contopus_cinereus;11.6;0;0;0;0;30;70;0;0;0;2.4;NA;3.84E+12;Invertebrate;0
Coragyps_atratus;1881.69;0;0;0;100;0;0;0;0;0;NA;NA;NA;VertFishScav;0
Corythopis_delalandi;15;0;0;0;80;20;0;0;0;0;2.4;NA;2.53E+12;Invertebrate;0
Cranioleuca_pallida;11.5;0;0;0;0;0;50;50;0;0;NA;NA;6.94E+11;Invertebrate;0
Crotophaga_ani;110.09;0;0;0;40;30;30;0;0;0;NA;NA;NA;Omnivore;0
Crypturellus_obsoletus;443.4;0;0;0;100;0;0;0;0;0;4.5;NA;1.84E+12;Omnivore;0
Crypturellus_parvirostris;198.99;0;0;0;100;0;0;0;0;0;4.5;NA;6.66E+12;PlantSeed;0
Crypturellus_tataupa;218.8;0;0;0;50;50;0;0;0;0;4.5;2;4.86E+12;Omnivore;0
Cyanocorax_cristatellus;178;0;0;0;60;20;20;0;0;0;3;NA;3.04E+12;Omnivore;0
Cyanoloxia_brissonii;27.5;0;0;0;50;50;0;0;0;0;2;NA;5.85E+12;FruiNect;0
Cyclarhis_gujanensis;28.8;0;0;0;0;40;40;20;0;0;NA;NA;NA;Invertebrate;0
Dacnis_cayana;13;0;0;0;0;0;30;60;10;0;2;NA;56501792441;Omnivore;0
Dendrocolaptes_platyrostris;61.7;0;0;0;50;50;0;0;0;0;NA;NA;3.89E+12;Invertebrate;0
Dendrocygna_autumnalis;755.3;0;0;50;50;0;0;0;0;0;NA;NA;NA;PlantSeed;0
Dendroma_rufa;25;0;0;0;0;0;40;60;0;0;NA;NA;NA;Invertebrate;0
Donacobius_atricapilla;36.8;0;0;0;0;50;50;0;0;0;2.2;NA;8.62E+12;Invertebrate;0
Dromococcyx_pavoninus;46.4;0;0;0;50;50;0;0;0;0;1;NA;3.10E+12;Invertebrate;0
Drymophila_ferruginea;10.6;0;0;0;0;30;70;0;0;0;NA;NA;5.06E+11;Invertebrate;0
Dryobates_spilogaster;40.3;0;0;0;0;50;50;0;0;0;NA;NA;NA;Invertebrate;0
Dryocopus_lineatus;183.19;0;0;0;20;20;60;0;0;0;NA;NA;NA;Invertebrate;0
Dysithamnus_mentalis;14.87;0;0;0;0;40;40;20;0;0;NA;NA;NA;Invertebrate;0
Egretta_thula;371;0;0;70;30;0;0;0;0;0;NA;NA;NA;Omnivore;0
Elaenia_chiriquensis;15.4;0;0;0;0;40;60;0;0;0;2;1.5;7.21E+12;Omnivore;0
Elaenia_flavogaster;24.8;0;0;0;0;20;40;30;10;0;NA;NA;NA;Omnivore;0
Elaenia_mesoleuca;17.6;0;0;0;0;20;40;40;0;0;2.4;NA;2.22E+12;Omnivore;0
Elaenia_parvirostris;13.8;0;0;0;0;33;33;33;0;0;2.4;NA;8.22E+12;Invertebrate;1
Elaenia_spectabilis;27.3;0;0;0;0;0;0;100;0;0;2;NA;2.88E+12;Omnivore;1
Elanoides_forficatus;416.24;0;0;0;0;50;50;0;0;0;2;1;1.26E+13;Invertebrate;1
Elanus_leucurus;346;0;0;0;80;0;0;0;20;0;NA;NA;NA;VertFishScav;0
Eleoscytalopus_indigoticus;16.15;0;0;0;60;40;0;0;0;0;2;NA;4.55E+11;Invertebrate;0
Emberizoides_herbicola;25.1;0;0;0;70;30;0;0;0;0;2;NA;5.55E+12;Omnivore;0
Empidonomus_varius;27.1;0;0;0;0;30;70;0;0;0;2.2;NA;7.74E+12;Invertebrate;1
Estrilda_astrild;8.29;0;0;0;50;50;0;0;0;0;NA;NA;NA;PlantSeed;0
Aphantochroa _cirrochloris ;7.7;0;0;0;0;80;20;0;0;0;NA;NA;NA;FruiNect;0
Eupetomena_macroura;9;0;0;0;0;0;60;30;10;0;2;NA;4.59E+12;FruiNect;0
Euphonia_chlorotica;11;0;0;0;0;0;10;90;0;0;3.9;NA;9.44E+12;FruiNect;0
Euphonia_cyanocephala;14;0;0;0;0;20;40;40;0;0;3.2;NA;2.71E+12;FruiNect;0
Euphonia_pectoralis;14.4;0;0;0;0;0;30;70;0;0;3;NA;1.36E+12;FruiNect;0
Euphonia_violacea;15;0;0;0;0;30;40;30;0;0;3.75;NA;4.92E+12;FruiNect;0
Falco_femoralis;335.76;0;0;0;30;30;20;10;10;0;NA;NA;NA;Omnivore;0
Falco_peregrinus;759.95;0;0;0;20;20;20;20;20;0;NA;NA;NA;VertFishScav;1
Falco_sparverius;114.61;0;0;0;50;40;10;0;0;0;NA;NA;NA;Invertebrate;0
Florisuga_fusca;8.1;0;0;0;0;30;60;0;10;0;2;NA;6.70E+11;FruiNect;1
Fluvicola_nengeta;21;0;0;0;60;40;0;0;0;0;NA;NA;3.64E+12;Invertebrate;0
Formicivora_acutirostris;10;0;0;0;50;50;0;0;0;0;2;NA;880775217.6;Invertebrate;0
Forpus_xanthopterygius;31;0;0;0;100;0;0;0;0;0;5.15;NA;5.78E+12;Omnivore;0
Furnarius_figulus;28;0;0;0;100;0;0;0;0;0;2;NA;1.97E+12;Invertebrate;0
Furnarius_rufus;46.42;0;0;0;70;30;0;0;0;0;3.2;NA;6.18E+12;Invertebrate;0
Gallinula_galeata;339.63;0;0;20;60;20;0;0;0;0;NA;NA;NA;Omnivore;0
Geothlypis_aequinoctialis;13.1;0;0;0;0;100;0;0;0;0;2;NA;1.31E+11;Invertebrate;0
Geotrygon_montana;133.86;0;0;0;100;0;0;0;0;0;NA;NA;NA;Omnivore;0
Geranoaetus_albicaudatus;885;0;0;0;100;0;0;0;0;0;2;1;8.71E+12;VertFishScav;0
Geranospiza_caerulescens;302.5;0;0;0;20;30;50;0;0;0;NA;NA;NA;VertFishScav;0
Gnorimopsar_chopi;65.9;0;0;0;60;10;30;0;0;0;4;NA;5.93E+12;Omnivore;0
Grallaria_varia;119;0;0;0;100;0;0;0;0;0;2;NA;3.25E+12;Invertebrate;0
Guira_guira;141;0;0;0;70;20;10;0;0;0;8.25;NA;8.03E+12;VertFishScav;0
Habia_rubica;32.46;0;0;0;0;40;60;0;0;0;NA;NA;NA;Invertebrate;0
Haplospiza_unicolor;15.9;0;0;0;80;20;0;0;0;0;3;NA;9.78E+11;PlantSeed;0
Harpagus_diodon;200;0;0;0;0;0;70;0;30;0;2;NA;2.35E+12;Invertebrate;1
Heliothryx_auritus;5.4;0;0;0;0;0;50;40;10;0;2;NA;6.89E+12;FruiNect;0
Hemithraupis_guira;12;0;0;0;0;0;10;90;0;0;NA;NA;9.38E+12;Invertebrate;0
Hemithraupis_ruficapilla;11;0;0;0;0;0;10;90;0;0;NA;NA;6.49E+11;Invertebrate;0
Hemitriccus_diops;10;0;0;0;0;100;0;0;0;0;2;NA;7.37E+11;Invertebrate;0
Hemitriccus_nidipendulus;7.5;0;0;0;0;80;20;0;0;0;2;NA;5.42E+11;Invertebrate;0
Herpetotheres_cachinnans;623.58;0;0;0;33;33;33;0;0;0;NA;NA;NA;VertFishScav;0
Herpsilochmus_rufimarginatus;10.58;0;0;0;0;0;100;0;0;0;NA;NA;6.81E+11;Invertebrate;0
Hirundinea_ferruginea;30.6;0;0;0;0;33;33;33;0;0;NA;NA;NA;Invertebrate;0
Hylophilus_poicilotis;10.4;0;0;0;0;20;60;20;0;0;NA;NA;6.73E+11;Invertebrate;0
Hypoedaleus_guttatus;38.8;0;0;0;0;0;100;0;0;0;NA;NA;8.30E+11;Invertebrate;0
Icterus_pyrrhopterus;35.44;0;0;0;0;20;40;40;0;0;2.2;NA;6.58E+12;Omnivore;0
Jacana_jacana;106.24;0;0;50;50;0;0;0;0;0;4;NA;1.38E+13;Invertebrate;0
Knipolegus_cyanirostris;15.4;0;0;0;0;100;0;0;0;0;1.7;NA;1.58E+12;Invertebrate;0
Knipolegus_lophotes;31.8;0;0;0;50;50;0;0;0;0;3;NA;1.32E+12;Invertebrate;0
Knipolegus_nigerrimus;20.3;0;0;0;50;50;0;0;0;0;NA;NA;7.89E+11;Invertebrate;0
Laniisoma_elegans;47.4;0;0;0;50;50;0;0;0;0;NA;NA;23578354210;Omnivore;0
Lathrotriccus_euleri;11.33;0;0;0;0;100;0;0;0;0;2.45;NA;1.95E+12;Invertebrate;1
lctinia_plumbea;249.9;0;0;0;0;0;0;20;80;0;NA;NA;NA;Invertebrate;1
Legatus_leucophaius;22.2;0;0;0;0;0;20;80;0;0;2.5;NA;1.08E+13;FruiNect;1
Lepidocolaptes_angustirostris;29.59;0;0;0;0;40;60;0;0;0;3.5;NA;6.58E+12;Invertebrate;0
Lepidocolaptes_falcinellus;27.92;0;0;0;0;0;50;50;0;0;NA;NA;4.98E+11;Invertebrate;0
Leptasthenura_setaria;11;0;0;0;0;0;50;50;0;0;NA;NA;3.95E+11;Invertebrate;0
Leptodon_cayanensis;474;0;0;0;0;50;50;0;0;0;NA;NA;NA;Omnivore;0
Leptopogon_amaurocephalus;11.7;0;0;0;0;50;50;0;0;0;2.45;NA;7.75E+12;Invertebrate;0
Leptotila_rufaxilla;157;0;0;0;100;0;0;0;0;0;1.7;NA;1.17E+13;PlantSeed;0
Leptotila_verreauxi;146.88;0;0;0;100;0;0;0;0;0;NA;NA;NA;PlantSeed;0
Leucochloris_albicollis;6.3;0;0;0;0;30;60;10;0;0;2;NA;2.18E+12;FruiNect;0
llicura_militaris;12.7;0;0;0;0;50;50;0;0;0;NA;NA;NA;Omnivore;0
Lochmias_nematura;22;0;0;0;100;0;0;0;0;0;2;NA;2.65E+12;Invertebrate;0
Lurocalis_semitorquatus;75.9;1;0;0;0;0;70;10;20;0;NA;NA;NA;Invertebrate;1
Machetornis_rixosa;29.6;0;0;0;100;0;0;0;0;0;3.5;NA;6.81E+12;Invertebrate;0
Mackenziaena_severa;51.8;0;0;0;30;40;30;0;0;0;NA;NA;9.55E+11;Invertebrate;0
Macropsalis_forcipata;139;1;0;0;0;20;70;10;0;0;NA;NA;NA;Invertebrate;0
Malacoptila_striata;44.1;0;0;0;50;50;0;0;0;0;4;NA;7.29E+11;Invertebrate;0
Manacus_manacus;16.7;0;0;0;0;80;20;0;0;0;2;3;7.52E+12;FruiNect;0
Megaceryle_torquata;317;0;90;0;10;0;0;0;0;0;NA;NA;NA;VertFishScav;0
Megarynchus_pitangua;69.91;0;0;0;0;10;50;40;0;0;NA;NA;NA;Invertebrate;0
Megascops_atricapilla;118.89;1;0;0;10;10;20;60;0;0;2.5;NA;9.90E+11;Invertebrate;0
Megascops_choliba;132;1;0;0;40;50;0;0;10;0;2;NA;1.30E+13;Invertebrate;0
Melanerpes_candidus;108;0;0;0;0;50;50;0;0;0;3.5;NA;5.54E+12;FruiNect;0
Mesembrinibis_cayennensis;756;0;0;40;60;0;0;0;0;0;2.5;NA;1.06E+13;Invertebrate;0
Micrastur_semitorquatus;621.68;0;0;0;50;30;20;0;0;0;2.7;NA;1.21E+13;VertFishScav;0
Milvago_chimachima;315.21;0;0;0;100;0;0;0;0;0;2;NA;1.36E+13;VertFishScav;0
Mimus_saturninus;63.7;0;0;0;100;0;0;0;0;0;3.5;NA;7.20E+12;Invertebrate;0
Mionectes_rufiventris;13.3;0;0;0;0;10;90;0;0;0;NA;NA;NA;Omnivore;0
Molothrus_bonariensis;41.49;0;0;0;100;0;0;0;0;0;NA;NA;NA;Invertebrate;0
Molothrus_oryzivorus;181.85;0;0;0;40;10;10;40;0;0;NA;NA;NA;FruiNect;0
Molothrus_rufoaxillaris;47.5;0;0;0;90;10;0;0;0;0;NA;NA;4.72E+12;PlantSeed;0
Muscipipra_vetula;27;0;0;0;100;0;0;0;0;0;3;NA;8.28E+11;Invertebrate;0
Myiarchus_ferox;27.5;0;0;0;0;80;20;0;0;0;2.2;NA;1.19E+13;Omnivore;0
Myiarchus_swainsoni;25.1;0;0;0;0;100;0;0;0;0;3.5;NA;5.88E+12;Invertebrate;0
Myiarchus_tyrannulus;35.45;0;0;0;20;80;0;0;0;0;3.95;1;9.18E+12;Invertebrate;0
Myiobius_barbatus;11.9;0;0;0;0;30;70;0;0;0;2;NA;6.23E+12;Invertebrate;0
Myiodynastes_maculatus;43.2;0;0;0;0;0;100;0;0;0;2.5;NA;4.28E+12;Omnivore;1
Myiopagis_caniceps;10.5;0;0;0;0;0;0;100;0;0;2;NA;2.65E+12;Invertebrate;0
Myiophobus_fasciatus;9.9;0;0;0;0;100;0;0;0;0;2;NA;1.00E+13;Invertebrate;1
Myiothlypis_leucoblephara;15.1;0;0;0;50;50;0;0;0;0;NA;NA;1.57E+12;Invertebrate;0
Myiozetetes_similis;28;0;0;0;20;20;40;20;0;0;3;NA;9.26E+12;Omnivore;0
Myrmoderus_squamosus;18.5;0;0;0;80;20;0;0;0;0;NA;NA;2.42E+11;Invertebrate;0
Nemosia_pileata;16;0;0;0;0;30;70;0;0;0;2;NA;8.99E+12;Invertebrate;0
Nyctibius_griseus;172.04;1;0;0;0;0;90;0;10;0;1;1;1.38E+13;Invertebrate;0
Nycticorax_nycticorax;810;0;0;50;50;0;0;0;0;0;NA;NA;NA;VertFishScav;0
Nyctidromus_albicollis;57.84;1;0;0;40;30;20;0;10;0;NA;NA;NA;Invertebrate;0
Nyctiphrynus_ocellatus;39.6;1;0;0;0;10;10;10;70;0;NA;NA;NA;Invertebrate;0
Nystalus_chacuru;52.3;0;0;0;33;33;33;0;0;0;2.8;NA;4.33E+12;Invertebrate;0
Pachyramphus_castaneus;19.5;0;0;0;0;0;100;0;0;0;NA;NA;5.79E+12;Invertebrate;0
Pachyramphus_polychopterus;20.8;0;0;0;0;0;100;0;0;0;NA;NA;NA;Omnivore;1
Pachyramphus_validus;43;0;0;0;0;50;50;0;0;0;4;NA;6.06E+12;Invertebrate;1
Pachyramphus_viridis;21;0;0;0;0;50;50;0;0;0;2.8;NA;4.96E+12;Invertebrate;0
Pardirallus_nigricans;217;0;0;60;40;0;0;0;0;0;3;NA;3.25E+12;Invertebrate;0
Passer_domesticus;26.51;0;0;0;50;50;0;0;0;0;NA;NA;NA;PlantSeed;0
Patagioenas_cayennensis;229;0;0;0;20;0;40;40;0;0;NA;NA;NA;FruiNect;0
Patagioenas_picazuro;279;0;0;0;30;30;30;10;0;0;1;NA;5.83E+12;PlantSeed;0
Patagioenas_plumbea;178.77;0;0;0;0;0;30;70;0;0;1;NA;6.56E+12;Omnivore;0
Penelope_obscura;1770;0;0;0;30;30;30;10;0;0;3;NA;1.01E+12;FruiNect;0
Phacellodomus_erythrophthalmus;24.5;0;0;0;0;100;0;0;0;0;3;NA;3.95E+11;Invertebrate;0
Phacellodomus_ferrugineigula;24.5;0;0;0;0;100;0;0;0;0;2;NA;5.87E+11;Invertebrate;0
Phaethornis_eurynome;5.3;0;0;0;0;100;0;0;0;0;2;NA;9.34E+11;FruiNect;0
Phaethornis_pretrei;5.6;0;0;0;0;100;0;0;0;0;2;NA;3.74E+12;FruiNect;0
Phaethornis_squalidus;3.4;0;0;0;0;100;0;0;0;0;2;NA;2.72E+11;FruiNect;0
Phalacrocorax_brasilianus;1239.29;0;100;0;0;0;0;0;0;0;NA;NA;NA;VertFishScav;0
Phibalura_flavirostris;46.5;0;0;0;0;0;100;0;0;0;2.2;NA;1.22E+11;FruiNect;0
Phimosus_infuscatus;559;0;0;80;20;0;0;0;0;0;3.75;NA;6.59E+12;Invertebrate;0
Phyllomyias_burmeisteri;11.1;0;0;0;0;0;100;0;0;0;NA;NA;NA;Omnivore;0
Phyllomyias_fasciatus;10.3;0;0;0;0;0;0;100;0;0;2;NA;3.91E+12;Invertebrate;0
Phyllomyias_griseocapilla;8;0;0;0;0;70;30;0;0;0;2;NA;1.90E+11;Invertebrate;0
Phyllomyias_virescens;8.2;0;0;0;0;10;50;40;0;0;2;NA;1.03E+12;Invertebrate;0
Phylloscartes_ventralis;8.3;0;0;0;0;0;100;0;0;0;NA;NA;1.59E+12;Invertebrate;0
Piaya_cayana;101.98;0;0;0;0;0;20;80;0;0;2;NA;1.34E+13;Invertebrate;0
Piculus_aurulentus;74.99;0;0;0;0;0;100;0;0;0;NA;NA;7.49E+11;Invertebrate;0
Picumnus_cirratus;10.2;0;0;0;0;50;50;0;0;0;2.4;NA;2.35E+12;Invertebrate;0
Picumnus_temminckii;11.5;0;0;0;0;80;20;0;0;0;2;NA;5.15E+11;Invertebrate;0
Pionus_maximiliani;293;0;0;0;0;30;50;20;0;0;4;NA;4.53E+12;PlantSeed;0
Pipile_jacutinga;1240.96;0;0;0;20;0;40;40;0;0;3;NA;8.94E+11;FruiNect;0
Pipraeidea_melanonota;21;0;0;0;0;10;20;60;10;0;2;NA;2.11E+12;Omnivore;0
Pitangus_sulphuratus;11.1;0;0;0;0;0;100;0;0;0;NA;NA;NA;Omnivore;1
Platyrinchus_mystaceus;9.7;0;0;0;0;80;20;0;0;0;2;NA;95934600.53;Invertebrate;0
Podilymbus_podiceps;411.93;0;100;0;0;0;0;0;0;0;NA;NA;NA;Invertebrate;0
Poecilotriccus_plumbeiceps;5.7;0;0;0;0;100;0;0;0;0;2.4;NA;1.48E+12;Invertebrate;0
Polytmus_guainumbi;5.2;0;0;0;0;100;0;0;0;0;2;NA;4.84E+12;FruiNect;0
Procnias_nudicollis;172.04;0;0;0;0;50;50;0;0;0;1;NA;1.47E+12;FruiNect;0
Progne_chalybea;42.9;0;0;0;20;20;20;20;20;0;NA;NA;NA;Invertebrate;1
Progne_tapera;32;0;0;0;0;30;20;20;30;0;4;NA;6.27E+12;Invertebrate;1
Psarocolius_decumanus;206.3;0;0;0;10;0;50;40;0;0;1.5;NA;1.05E+13;FruiNect;0
Pseudastur_polionotus;595.5;0;0;0;100;0;0;0;0;0;NA;NA;8.13E+11;Vert;0
Pseudoleistes_guirahuro;86.42;0;0;0;100;0;0;0;0;0;NA;NA;2.14E+12;Omnivore;0
Psilorhamphus_guttatus;11.3;0;0;0;10;60;30;0;0;0;NA;NA;4.11E+11;Invertebrate;0
Psittacara_leucophthalmus;158;0;0;0;20;20;40;20;0;0;3.5;NA;8.73E+12;FruiSeed;0
Pulsatrix_koeniswaldiana;481;1;0;0;20;30;30;20;0;0;2;NA;6.52E+11;VertFishScav;0
Pygochelidon_cyanoleuca;9.7;0;0;0;0;0;100;0;0;0;NA;NA;8.47E+12;Invertebrate;0
Pyriglena_leucoptera;28.8;0;0;0;40;40;20;0;0;0;2;NA;1.23E+12;Invertebrate;0
Pyrocephalus_rubinus;14.4;0;0;0;0;50;50;0;0;0;NA;NA;NA;Invertebrate;1
Pyroderus_scutatus;357;0;0;0;0;50;50;0;0;0;1;NA;2.12E+12;FruiNect;0
Pyrrhura_frontalis;72;0;0;0;0;30;50;20;0;0;5.5;NA;1.70E+12;PlantSeed;0
Ramphastos_dicolorus;331;0;0;0;20;0;0;80;0;0;2.9;NA;1.39E+12;FruiNect;0
Ramphastos_toco;617.99;0;0;0;20;10;10;60;0;0;2.9;NA;4.57E+12;FruiNect;0
Ramphastos_vitellinus;360.36;0;0;0;10;10;50;30;0;0;3;NA;1.75E+12;FruiNect;0
Ramphocelus_bresilius;32.9;0;0;0;0;70;30;0;0;0;2.5;NA;3.78E+11;Omnivore;0
Ramphodon_naevius;7.9;0;0;0;0;100;0;0;0;0;NA;NA;9.822.345.879;FruiNect;0
Ramphotrigon_megacephalum;14.2;0;0;0;0;50;50;0;0;0;2;NA;2.27E+12;Invertebrate;0
Rhopias_gularis;8.7;0;0;0;0;80;20;0;0;0;2;NA;5.01E+11;NA;0
Rhynchotus_rufescens;843.47;0;0;0;80;20;0;0;0;0;8;NA;5.67E+12;Omnivore;0
Rostrhamus_sociabilis;366.94;0;0;0;100;0;0;0;0;0;3;1.5;9.11E+11;Invertebrate;1
Rupornis_magnirostris;269;0;0;0;33;33;33;0;0;0;2;NA;1785758356;VertInvert;0
Saltator_maxillosus;50.8;0;0;0;0;30;30;40;0;0;2.5;NA;4.37E+11;Invertebrate;0
Saltator_similis;43.3;0;0;0;0;70;30;0;0;0;NA;NA;3.78E+12;Invertebrate;0
Sarcoramphus_papa;3400;0;0;0;100;0;0;0;0;0;NA;NA;NA;VertFishScav;0
Satrapa_icterophrys;21.5;0;0;0;0;60;40;0;0;0;2.8;NA;6.57E+12;Invertebrate;0
