	sp	BodyMass.Value	Nocturnal	ForStrat.watbelowsurf	ForStrat.wataroundsurf	ForStrat.ground	ForStrat.understory	ForStrat.midhigh	ForStrat.canopy	ForStrat.aerial	PelagicSpecialist	litter_or_clutch_size_n	litters_or_clutches_per_y	range_m2
178	Leptopogon_amaurocephalus	11.7	0	0	0	0	50	50	0	0	0	2.45	NA	7.75E+12
179	Leptotila_rufaxilla	157	0	0	0	100	0	0	0	0	0	1.7	NA	1.17E+13
180	Leptotila_verreauxi	146.88	0	0	0	100	0	0	0	0	0	NA	NA	NA
181	Leucochloris_albicollis	6.3	0	0	0	0	30	60	10	0	0	2	NA	2.18E+12
182	llicura_militaris	12.7	0	0	0	0	50	50	0	0	0	NA	NA	NA
183	Lochmias_nematura	22	0	0	0	100	0	0	0	0	0	2	NA	2.65E+12
184	Lurocalis_semitorquatus	75.9	1	0	0	0	0	70	10	20	0	NA	NA	NA
185	Machetornis_rixosa	29.6	0	0	0	100	0	0	0	0	0	3.5	NA	6.81E+12
186	Mackenziaena_severa	51.8	0	0	0	30	40	30	0	0	0	NA	NA	9.55E+11
187	Macropsalis_forcipata	139	1	0	0	0	20	70	10	0	0	NA	NA	NA
188	Malacoptila_striata	44.1	0	0	0	50	50	0	0	0	0	4	NA	7.29E+11
189	Manacus_manacus	16.7	0	0	0	0	80	20	0	0	0	2	3	7.52E+12
190	Megaceryle_torquata	317	0	90	0	10	0	0	0	0	0	NA	NA	NA
191	Megarynchus_pitangua	69.91	0	0	0	0	10	50	40	0	0	NA	NA	NA
192	Megascops_atricapilla	118.89	1	0	0	10	10	20	60	0	0	2.5	NA	9.90E+11
193	Megascops_choliba	132	1	0	0	40	50	0	0	10	0	2	NA	1.30E+13
194	Melanerpes_candidus	108	0	0	0	0	50	50	0	0	0	3.5	NA	5.54E+12
195	Mesembrinibis_cayennensis	756	0	0	40	60	0	0	0	0	0	2.5	NA	1.06E+13
196	Micrastur_semitorquatus	621.68	0	0	0	50	30	20	0	0	0	2.7	NA	1.21E+13
197	Milvago_chimachima	315.21	0	0	0	100	0	0	0	0	0	2	NA	1.36E+13
198	Mimus_saturninus	63.7	0	0	0	100	0	0	0	0	0	3.5	NA	7.20E+12
199	Molothrus_bonariensis	41.49	0	0	0	100	0	0	0	0	0	NA	NA	NA
200	Molothrus_oryzivorus	181.85	0	0	0	40	10	10	40	0	0	NA	NA	NA
201	Molothrus_rufoaxillaris	47.5	0	0	0	90	10	0	0	0	0	NA	NA	4.72E+12
